pid,iid,rate
234,234,7.396620310144654
234,236,7.250442509861428
234,239,6.307007998214044
234,243,7.055456388111446
234,244,6.853949534125142
234,246,6.505199714362453
234,249,6.714741490305129
234,253,6.308640424620603
234,260,6.98852435974275
234,262,5.312814222005384
234,263,7.203423143220379
234,264,7.204606105803916
234,267,7.298684143714463
234,269,7.695025128952927
234,270,6.730371360256908
234,271,7.593579691964542
234,274,7.497039036275205
234,275,6.89298954638124
234,277,7.406796118397424
234,278,7.506261126604228
234,279,7.7430965326096155
234,281,6.4071076126005
234,282,7.351998974752815
234,283,7.6966414983607905
234,285,7.496678822663542
234,286,6.151150733636478
234,289,6.860637236833622
234,290,7.197034327587713
234,292,7.047683628029435
234,293,6.941989969505968
234,294,7.202896114418888
234,296,7.306068303507289
234,297,8.39833081373031
234,298,5.959828101138557
234,299,6.802483902891113
234,300,7.045229410705158
234,304,6.305007609160205
234,305,5.972726128081743
234,307,6.947486047867346
234,308,6.644131217860849
234,309,7.0026983980189375
234,313,6.856881751919633
234,314,7.3501881847186095
234,316,7.555166048453931
234,320,6.953381370594362
234,325,5.607739410090569
234,326,7.589819776579
234,327,6.891947961310713
234,328,7.853109226165105
234,330,6.7549777858369096
234,333,7.646874487203251
234,339,6.902262943821879
234,340,8.3963182294579
234,344,7.441455335291315
234,345,7.599772023406933
234,346,7.097668435623251
234,348,6.597803855194678
234,352,5.955652551017438
234,354,6.498005047925346
234,356,6.3094775936864576
234,362,7.357378993017251
234,364,7.358082706242594
234,365,6.69890621270324
234,366,6.4897965859359275
234,367,6.794333507251694
234,368,6.507094321875997
234,374,8.141377840142516
234,375,6.672903170725133
234,378,7.59543511579632
234,381,7.400949229510765
234,382,7.203302333634327
234,386,6.900830774628367
234,387,7.092570987561437
234,388,6.917419698897846
234,389,6.322455812970185
234,392,6.30508497542785
234,393,6.286754101700718
234,394,6.503312004809177
234,395,7.448024248843456
234,396,6.657758277063419
234,397,7.111170047429893
234,401,8.140589381638804
234,405,7.695243772023554
234,407,7.692752989735899
234,409,6.2595748322939695
234,411,8.493897842014391
234,417,5.752981215258594
234,418,6.711155374072789
234,422,7.744041326123148
234,428,7.691194781347599
234,429,7.692592969858129
234,430,6.15459186940171
234,431,7.044883423373895
234,432,7.804524826002493
234,433,7.0534949725825165
234,434,7.544481070273401
234,436,8.139697745270068
234,437,6.246289226342935
234,441,8.186163384723798
234,442,7.799648679654642
234,443,7.347857118957322
234,444,7.708580956169643
234,445,8.18892388842412
234,447,6.913703426123907
234,450,7.191984267796597
234,451,7.549367816952361
234,455,6.847051484784705
234,456,7.396819739009198
234,457,6.982449921673824
234,458,8.68713601193027
234,461,7.104850271773713
234,462,6.307557553458224
234,464,7.201302039548396
234,466,6.54983594794136
234,468,7.098555735582571
234,471,6.843327968540089
234,473,6.897673151671447
234,474,6.508696158424398
234,480,6.617658097812281
234,481,5.812635063730446
234,482,7.045863386661634
234,483,8.008738639153297
234,484,7.20078609764385
234,485,6.900579492845975
234,486,7.201448437647266
234,487,6.257750286225149
234,489,7.4963172492634
234,491,7.6035491599245635
234,495,6.917164470742092
234,501,6.796593665914227
234,503,7.654704506153587
234,506,6.356380355865832
234,507,7.203009364747254
234,508,6.895549232812316
234,509,5.409500734714069
234,510,7.3964956853306845
234,511,6.6935365112474585
234,512,6.299923306174758
234,514,6.211319100871223
234,517,6.503382426872126
234,521,6.800058423256184
234,522,6.454076160532428
234,524,7.349418048805968
234,526,7.691997242088154
234,528,8.591187958366485
234,530,5.412362003664219
234,533,7.350677393848244
234,534,7.199080057212294
234,535,6.5526104069193245
234,536,8.393254320341082
234,537,5.853069964195154
234,539,6.503513180633997
234,540,7.201340716884092
234,541,6.7670633490233545
234,545,7.047410097575989
234,546,7.204228574200946
234,548,6.7053525289426075
234,549,6.755629930253663
234,550,8.294599627032632
235,234,6.9483479753461745
235,235,7.096110642863782
235,236,6.948171995070394
235,237,7.195296133018853
235,240,7.294399174862226
235,241,6.155841929755737
235,242,6.8990375465704235
235,243,6.996489156224178
235,244,6.5972803304696
235,245,6.401620076873885
235,248,5.701998362834143
235,249,6.528204923881845
235,250,6.997101139270392
235,252,7.194374954851823
235,255,7.792537302436648
235,256,6.995951486392091
235,258,6.422820277182235
235,263,6.996040350097103
235,264,7.095671507247178
235,267,6.853182571456628
235,268,6.349848413972079
235,271,7.001679984698806
235,274,6.701095431375356
235,275,6.100559123822896
235,276,6.449347326072012
235,277,6.102589300742973
235,278,7.296877165073493
235,281,6.298358290161803
235,283,6.704165483344604
235,285,6.699967864899225
235,288,7.594012201974717
235,289,7.093642215558007
235,290,6.303591761361229
235,291,6.446907315574211
235,295,6.715572328674659
235,297,8.087305427261537
235,298,5.94986695981261
235,300,6.6460127889542715
235,301,6.607031800746358
235,304,6.395775517865393
235,306,7.011521888625849
235,308,6.495606465453273
235,312,6.300235765303904
235,313,6.448912489489759
